UID,image_name,image_url,title,author,category,class
1588345297,1588345297.jpg,http://ecx.images-amazon.com/images/I/51l6XIoa3rL.jpg,With Schwarzkopf: Life Lessons of The Bear,Gus Lee,1,Biographies & Memoirs
1404803335,1404803335.jpg,http://ecx.images-amazon.com/images/I/51UJnL3Tx6L.jpg,"Magnets: Pulling Together, Pushing Apart (Amazing Science)",Natalie M. Rosinsky,4,Children's Books
1446276082,1446276082.jpg,http://ecx.images-amazon.com/images/I/51MGUKhkyhL.jpg,Energy Security (SAGE Library of International Security),,10,Engineering & Transportation
1491522666,1491522666.jpg,http://ecx.images-amazon.com/images/I/51qKvjsi3ML.jpg,An Amish Gathering: Life in Lancaster County,Beth Wiseman,9,Christian Books & Bibles
970096410,0970096410.jpg,http://ecx.images-amazon.com/images/I/51qoUENb1CL.jpg,City of Rocks Idaho: A Climber's Guide (Regional Rock Climbing Series),Dave Bingham,26,Sports & Outdoors
8436808053,8436808053.jpg,http://ecx.images-amazon.com/images/I/41aDW5pzZBL.jpg,"Como vencer el insomnio. Tecnicas, reglas y consejos practicos para dormir mejor (BIBLIOTECA PRACTICA) (Spanish Edition)",Choliz Montanes,11,"Health, Fitness & Dieting"
1848291388,1848291388.jpg,http://ecx.images-amazon.com/images/I/51Lpg7xmrBL.jpg,John Martin Littlejohn: An Enigma of Osteopathy,John O'Brien,16,Medical Books
73402656,0073402656.jpg,http://ecx.images-amazon.com/images/I/51WccSzFUrL.jpg,Chemistry: The Molecular Nature of Matter and Change,Martin Silberberg,23,Science & Math
323045979,0323045979.jpg,http://ecx.images-amazon.com/images/I/51rJir5EpnL.jpg,"Mosby's Oncology Nursing Advisor: A Comprehensive Guide to Clinical Practice, 1e",Susan Newton MS  RN  AOCN  AOCNS,16,Medical Books
1847176968,1847176968.jpg,http://ecx.images-amazon.com/images/I/61KoC743OzL.jpg,Ireland's Wild Atlantic Way,Carsten Krieger,29,Travel
1760342769,1760342769.jpg,http://ecx.images-amazon.com/images/I/515LqScy63L.jpg,Lonely Planet Israel & the Palestinian Territories (Travel Guide),Lonely Planet,29,Travel
137029039,0137029039.jpg,http://ecx.images-amazon.com/images/I/51T6dO1XxfL.jpg,Day Trading Options: Profiting from Price Distortions in Very Brief Time Frames,Jeff Augen,2,Business & Money
806965339,0806965339.jpg,http://ecx.images-amazon.com/images/I/71SDZJBGFWL.gif,"Breads, Cakes, Rolls & More from Your Bread Machine",Rob Wanless,7,"Cookbooks, Food & Wine"
1405167971,1405167971.jpg,http://ecx.images-amazon.com/images/I/41giXSUi1TL.jpg,Running and Philosophy: A Marathon for the Mind,,19,Politics & Social Sciences
1565238567,1565238567.jpg,http://ecx.images-amazon.com/images/I/6124u5dAX0L.jpg,Wood Spirits and Green Men: A Design Sourcebook for Woodcarvers and Other Artists,Lora S. Irish,8,"Crafts, Hobbies & Home"
471310115,0471310115.jpg,http://ecx.images-amazon.com/images/I/61JkH6IoBVL.jpg,"Janice VanCleave's 201 Awesome, Magical, Bizarre, & Incredible Experiments",Janice VanCleave,4,Children's Books
